Reel1,Reel2,Reel3,Letters,,
1,5,8,"B, I, K, P, J, H, Q, U, L, T, A, Y, S, A, S, J",861,
1,10,14,"J, U, M, J, T, U, B, B, F, N, U, W, I, D, X, E",259,2/1/2025
0,9,3,"X, L, I, X, Q, D, K, Y, O, D, H, C, Z, I, E, X",254,2/2/2025
1,4,7,"G, U, P, V, I, T, M, P, Z, B, R, P, I, X, V, D",152,2/3/2025
0,18,2,"U, U, U, V, K, U, G, U, X, W, T, L, E, Z, Z, Z",53,2/4/2025
1,7,16,"A, C, X, P, I, M, X, Q, O, W, W, R, X, R, X, C",145,2/5/2025
1,5,17,"J, F, Y, W, D, N, O, U, R, Y, J, I, F, I, G, W",246,2/6/2025
1,6,21,"A, U, Z, L, R, F, D, H, P, P, S, M, D, G, Y, N",899,2/7/2025
1,0,10,"I, O, F, L, A, P, R, G, U, P, Y, G, H, M, U, R",692,2/8/2025
0,13,21,"C, U, G, G, H, Z, E, D, P, S, X, Q, H, I, X, J",263,2/9/2025
1,4,3,"P, J, O, I, M, S, M, H, S, L, B, P, D, J, P, L",290,2/10/2025
0,2,0,"O, I, V, W, C, Y, B, X, G, G, S, I, Z, U, Z, B",137,2/11/2025
1,10,19,"U, Q, W, M, I, X, I, W, T, Q, Q, D, E, M, Y, G",136,2/12/2025
1,4,17,"A, F, P, H, T, Y, K, I, V, N, G, B, L, X, Y, O",867,2/13/2025
0,16,18,"Y, F, A, L, I, U, L, N, M, F, C, I, D, J, E, P",1146,2/14/2025
1,4,18,"I, Z, I, A, W, X, R, Z, J, Y, Z, J, D, M, E, M",255,2/15/2025
0,13,2,"X, Q, H, D, F, S, N, Z, C, J, A, K, X, V, O, R",396,2/16/2025
0,7,18,"J, R, G, R, R, E, A, R, N, O, O, V, K, X, B, F",385,2/17/2025
0,18,16,"Q, N, S, K, K, A, Z, G, H, F, L, E, N, J, X, T",477,2/18/2025
0,13,5,"N, T, V, F, G, N, W, A, Q, T, J, K, O, E, J, O",279,2/19/2025
0,4,24,"U, G, B, I, I, U, J, U, R, W, P, S, C, N, J, R",271,2/20/2025
0,24,3,"W, E, R, W, E, B, B, O, V, Z, R, Q, L, D, R, E",253,2/21/2025
0,6,0,"H, C, A, T, N, Y, H, J, T, V, Z, Y, R, L, Z, J",131,2/22/2025
0,16,22,"M, T, K, J, M, F, L, W, U, T, Z, F, W, P, F, R",42,2/23/2025
0,13,1,"A, P, A, E, J, L, L, Q, A, N, V, L, Q, D, X, D",161,2/24/2025
0,6,19,"O, H, Y, W, J, Y, N, Y, X, S, L, C, J, Q, W, K",143,2/25/2025
0,11,23,"F, L, P, U, D, B, L, B, B, B, Z, C, J, C, T, X",37,2/26/2025
0,15,10,"V, O, F, S, N, M, E, Y, M, I, O, S, W, E, K, U",657,2/27/2025
1,0,11,"X, C, A, V, M, L, C, W, J, J, J, R, Y, R, I, S",318,2/28/2025
0,15,17,"M, L, R, L, V, R, C, R, Q, J, I, H, A, J, V, N",163,3/1/2025
0,5,20,"I, S, Y, M, J, E, Z, H, V, M, A, J, P, B, V, X",359,3/2/2025
0,17,4,"X, P, N, X, X, L, E, S, C, L, A, S, V, E, L, T",745,3/3/2025
0,10,16,"Z, A, U, X, E, B, E, K, T, A, F, W, M, F, D, H",434,3/4/2025
0,21,25,"U, J, E, V, T, Z, H, W, X, T, R, Z, R, Z, M, K",92,3/5/2025
0,2,20,"H, I, I, O, S, S, W, P, W, C, M, N, T, P, X, X",485,3/6/2025
0,25,18,"U, D, K, U, G, Z, C, K, P, L, V, T, T, I, Q, M",156,3/7/2025
1,11,9,"F, W, C, Z, Z, O, F, G, M, T, S, G, I, E, B, K",494,3/8/2025
1,12,0,"J, V, W, M, B, J, O, D, L, Q, Z, J, V, A, Y, E",332,3/9/2025
0,8,14,"Y, M, V, L, X, V, T, E, P, Y, G, I, S, X, W, T",413,3/10/2025
0,0,4,"T, A, D, E, P, J, R, G, J, Z, D, H, D, F, G, L",478,3/11/2025
0,0,0,"Q, O, X, P, K, E, C, H, B, O, F, C, A, U, K, M",354,3/12/2025
1,10,3,"G, I, Q, M, Y, M, H, I, G, X, H, P, S, H, E, R",283,3/13/2025
0,25,14,"W, K, C, W, N, P, P, O, I, Q, Q, U, O, X, O, G",142,3/14/2025
1,4,2,"I, W, Z, Z, E, A, P, M, E, V, V, A, E, V, K, B",126,3/15/2025
1,0,14,"O, P, J, E, P, F, B, E, X, H, A, Q, C, D, N, A",400,3/16/2025
1,1,0,"Y, Q, J, Q, B, I, R, L, S, G, L, Y, V, T, F, O",399,3/17/2025
1,7,19,"L, Y, S, R, G, F, A, T, P, V, F, R, Z, Y, L, X",270,3/18/2025
0,24,1,"L, S, Q, T, A, I, U, Z, C, T, G, T, Z, A, W, O",575,3/19/2025
1,5,9,"L, J, Z, B, P, C, D, I, F, M, L, T, N, V, H, F",135,3/20/2025
0,6,20,"K, U, Z, R, O, P, J, U, X, N, Z, P, U, T, E, P",204,3/21/2025
